day,dimensions,AdaBoost PCA,AdaBoost Isomap,Random Forest PCA,Random Forest Isomap
1,10,0.2840749487956738,0.2829278812776703,0.27778367871346976,0.2791272791832708
1,20,0.28846022453279524,0.28357733737124424,0.3069125368911179,0.2799548315183078
1,30,0.2985769044174902,0.2833253067832868,0.2839242471440453,0.2770201056447477
2,10,0.3082455068718415,0.32244370064228506,0.31329247680059896,0.3277585096456859
2,20,0.2957048573546495,0.30153603988578337,0.3088866073536402,0.30563416574403623
2,30,0.2999753364671409,0.2909054891541063,0.301689334764507,0.2954859667396009
3,10,0.2806677305547125,0.265580040501153,0.2764220831257541,0.2710297070502223
3,20,0.2577450736679975,0.30245189778245624,0.2850709649520033,0.3184922557725275
3,30,0.263551187825635,0.3112593328121067,0.25709348922292186,0.2891678179483829
4,10,0.3128335254033326,0.3158971241061067,0.3268755086471231,0.31107528369723003
4,20,0.2956831981505018,0.3444258701251418,0.3093637748099969,0.344589540990251
4,30,0.29672707906738033,0.31541382358309145,0.2949767147023321,0.3199278310066225
5,10,0.3451126950652251,0.3703176184826952,0.3776968222321766,0.3739093222411327
5,20,0.3364856999703242,0.38295143451262414,0.3891732986971865,0.37457732168871294
5,30,0.3415956982117909,0.3448918117512513,0.338914107783146,0.3442879797438521
