,datetime,temperature,holiday,week_day_0,week_day_1,week_day_2,week_day_3,week_day_4,week_day_5,week_day_6
0,2014-02-17,6.0,False,1,0,0,0,0,0,0
1,2014-02-18,6.0,False,0,1,0,0,0,0,0
2,2014-02-19,7.8,False,0,0,1,0,0,0,0
3,2014-02-20,8.2,False,0,0,0,1,0,0,0
4,2014-02-21,7.0,False,0,0,0,0,1,0,0
5,2014-02-22,6.6,False,0,0,0,0,0,1,0
6,2014-02-23,7.5,False,0,0,0,0,0,0,1
7,2014-02-24,7.8,False,1,0,0,0,0,0,0
8,2014-02-25,8.7,False,0,1,0,0,0,0,0
9,2014-02-26,6.7,False,0,0,1,0,0,0,0
10,2014-02-27,4.9,False,0,0,0,1,0,0,0
11,2014-02-28,5.4,False,0,0,0,0,1,0,0
12,2014-03-01,5.9,False,0,0,0,0,0,1,0
13,2014-03-02,6.2,False,0,0,0,0,0,0,1
14,2014-03-03,4.9,False,1,0,0,0,0,0,0
15,2014-03-04,5.2,False,0,1,0,0,0,0,0
16,2014-03-05,5.6,False,0,0,1,0,0,0,0
17,2014-03-06,6.5,False,0,0,0,1,0,0,0
18,2014-03-07,7.8,False,0,0,0,0,1,0,0
19,2014-03-08,8.7,False,0,0,0,0,0,1,0
20,2014-03-09,11.3,False,0,0,0,0,0,0,1
21,2014-03-10,9.8,False,1,0,0,0,0,0,0
22,2014-03-11,9.3,False,0,1,0,0,0,0,0
23,2014-03-12,8.3,False,0,0,1,0,0,0,0
24,2014-03-13,7.9,False,0,0,0,1,0,0,0
25,2014-03-14,6.7,False,0,0,0,0,1,0,0
26,2014-03-15,9.9,False,0,0,0,0,0,1,0
27,2014-03-16,10.5,False,0,0,0,0,0,0,1
28,2014-03-17,10.2,False,1,0,0,0,0,0,0
29,2014-03-18,9.3,False,0,1,0,0,0,0,0
30,2014-03-19,11.3,False,0,0,1,0,0,0,0
31,2014-03-20,12.9,False,0,0,0,1,0,0,0
32,2014-03-21,7.8,False,0,0,0,0,1,0,0
33,2014-03-22,6.6,False,0,0,0,0,0,1,0
34,2014-03-23,5.2,False,0,0,0,0,0,0,1
35,2014-03-24,5.6,False,1,0,0,0,0,0,0
36,2014-03-25,4.8,False,0,1,0,0,0,0,0
37,2014-03-26,4.5,False,0,0,1,0,0,0,0
38,2014-03-27,8.6,False,0,0,0,1,0,0,0
39,2014-03-28,11.0,False,0,0,0,0,1,0,0
40,2014-03-29,11.5,False,0,0,0,0,0,1,0
41,2014-03-30,12.3,False,0,0,0,0,0,0,1
42,2014-03-31,14.7,False,1,0,0,0,0,0,0
43,2014-04-01,12.7,False,0,1,0,0,0,0,0
44,2014-04-02,13.7,False,0,0,1,0,0,0,0
45,2014-04-03,15.2,False,0,0,0,1,0,0,0
46,2014-04-04,13.0,False,0,0,0,0,1,0,0
47,2014-04-05,11.9,False,0,0,0,0,0,1,0
48,2014-04-06,13.1,False,0,0,0,0,0,0,1
49,2014-04-07,15.6,False,1,0,0,0,0,0,0
50,2014-04-08,9.1,False,0,1,0,0,0,0,0
51,2014-04-09,10.7,False,0,0,1,0,0,0,0
52,2014-04-10,12.1,False,0,0,0,1,0,0,0
53,2014-04-11,11.3,False,0,0,0,0,1,0,0
54,2014-04-12,9.9,False,0,0,0,0,0,1,0
55,2014-04-13,10.5,False,0,0,0,0,0,0,1
56,2014-04-14,8.9,False,1,0,0,0,0,0,0
57,2014-04-15,7.2,False,0,1,0,0,0,0,0
58,2014-04-16,7.4,False,0,0,1,0,0,0,0
59,2014-04-17,10.9,False,0,0,0,1,0,0,0
60,2014-04-18,8.6,False,0,0,0,0,1,0,0
61,2014-04-19,11.2,False,0,0,0,0,0,1,0
62,2014-04-20,15.5,True,0,0,0,0,0,0,1
63,2014-04-21,12.4,True,1,0,0,0,0,0,0
64,2014-04-22,12.5,False,0,1,0,0,0,0,0
65,2014-04-23,13.4,False,0,0,1,0,0,0,0
66,2014-04-24,13.6,False,0,0,0,1,0,0,0
67,2014-04-25,17.1,False,0,0,0,0,1,0,0
68,2014-04-26,14.2,True,0,0,0,0,0,1,0
69,2014-04-27,11.6,False,0,0,0,0,0,0,1
70,2014-04-28,13.2,False,1,0,0,0,0,0,0
71,2014-04-29,13.8,False,0,1,0,0,0,0,0
72,2014-04-30,13.1,False,0,0,1,0,0,0,0
73,2014-05-01,13.0,False,0,0,0,1,0,0,0
74,2014-05-02,10.0,False,0,0,0,0,1,0,0
75,2014-05-03,8.4,False,0,0,0,0,0,1,0
76,2014-05-04,7.9,False,0,0,0,0,0,0,1
77,2014-05-05,12.2,False,1,0,0,0,0,0,0
78,2014-05-06,14.6,False,0,1,0,0,0,0,0
79,2014-05-07,12.7,False,0,0,1,0,0,0,0
80,2014-05-08,12.2,False,0,0,0,1,0,0,0
81,2014-05-09,12.5,False,0,0,0,0,1,0,0
82,2014-05-10,11.6,False,0,0,0,0,0,1,0
83,2014-05-11,10.2,False,0,0,0,0,0,0,1
84,2014-05-12,10.8,False,1,0,0,0,0,0,0
85,2014-05-13,10.3,False,0,1,0,0,0,0,0
86,2014-05-14,9.6,False,0,0,1,0,0,0,0
87,2014-05-15,10.1,False,0,0,0,1,0,0,0
88,2014-05-16,12.1,False,0,0,0,0,1,0,0
89,2014-05-17,14.2,False,0,0,0,0,0,1,0
90,2014-05-18,15.9,False,0,0,0,0,0,0,1
91,2014-05-19,18.4,False,1,0,0,0,0,0,0
92,2014-05-20,19.9,False,0,1,0,0,0,0,0
93,2014-05-21,18.1,False,0,0,1,0,0,0,0
94,2014-05-22,18.2,False,0,0,0,1,0,0,0
95,2014-05-23,16.4,False,0,0,0,0,1,0,0
96,2014-05-24,15.0,False,0,0,0,0,0,1,0
97,2014-05-25,16.0,False,0,0,0,0,0,0,1
98,2014-05-26,15.8,False,1,0,0,0,0,0,0
99,2014-05-27,15.6,False,0,1,0,0,0,0,0
100,2014-05-28,13.1,False,0,0,1,0,0,0,0
101,2014-05-29,10.4,True,0,0,0,1,0,0,0
102,2014-05-30,11.9,False,0,0,0,0,1,0,0
103,2014-05-31,13.3,False,0,0,0,0,0,1,0
104,2014-06-01,13.5,False,0,0,0,0,0,0,1
105,2014-06-02,14.0,False,1,0,0,0,0,0,0
106,2014-06-03,15.1,False,0,1,0,0,0,0,0
107,2014-06-04,14.6,False,0,0,1,0,0,0,0
108,2014-06-05,13.0,False,0,0,0,1,0,0,0
109,2014-06-06,16.3,False,0,0,0,0,1,0,0
110,2014-06-07,21.0,False,0,0,0,0,0,1,0
111,2014-06-08,20.0,True,0,0,0,0,0,0,1
112,2014-06-09,21.6,True,1,0,0,0,0,0,0
